City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
1204,Bam,29.106,58.357,77.14,16,11,10.96,IR,2021-04-11 19:59:44
1205,Kinablangan,7.6947,126.5503,76.95,88,95,7.78,PH,2021-04-11 19:59:44
1206,Autazes,-3.5797,-59.1306,79.23,93,100,1.52,BR,2021-04-11 19:59:44
1207,San Cristobal,7.7669,-72.225,91.4,49,40,11.5,VE,2021-04-11 19:59:44
1208,Les Cayes,18.2,-73.75,78.6,76,94,11.86,HT,2021-04-11 19:59:45
1209,Rikitea,-23.1203,-134.9692,78.21,75,7,10.07,PF,2021-04-11 19:59:45
1210,Mahebourg,-20.4081,57.7,78.8,89,75,10.36,MU,2021-04-11 19:59:27
1211,Catemaco,18.4167,-95.1167,86.0,70,1,16.11,MX,2021-04-11 19:59:46
1212,Champerico,14.3,-91.9167,91.4,62,20,9.22,GT,2021-04-11 19:59:43
1213,Upernavik,72.7868,-56.1549,31.46,81,100,13.82,GL,2021-04-11 19:59:46
1214,Bluff,-46.6,168.3333,46.99,97,20,1.99,NZ,2021-04-11 19:59:47
1215,Ampanihy,-24.7,44.75,71.67,89,18,9.75,MG,2021-04-11 19:59:47
1216,Pavlodar,52.3,76.95,28.4,86,0,6.71,KZ,2021-04-11 19:59:47
1217,Lagoa,39.05,-27.9833,62.8,83,100,7.4,PT,2021-04-11 19:58:34
1218,Racine,42.7495,-88.0751,55.99,66,83,1.68,US,2021-04-11 19:59:48
1219,Anadyr,64.75,177.4833,-5.8,77,100,31.32,RU,2021-04-11 19:59:48
1220,Sangueya,10.7,-14.3667,77.43,73,76,7.58,GN,2021-04-11 19:59:49
1221,Shenkursk,62.1091,42.896,37.08,76,6,9.82,RU,2021-04-11 19:59:49
1222,Roald,62.5833,6.1333,39.2,75,20,16.11,NO,2021-04-11 19:59:49
1223,Pontalina,-17.525,-49.4472,83.57,45,0,1.25,BR,2021-04-11 19:59:50
1224,Carnarvon,-24.8667,113.6333,77.0,94,90,14.97,AU,2021-04-11 19:54:51
1225,Ushuaia,-54.8,-68.3,51.8,50,75,17.27,AR,2021-04-11 19:59:35
