City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
373,Saryg-Sep,51.5,95.6,24.98,79,61,3.06,RU,2021-04-11 22:33:21,broken clouds
374,Pawayan,28.0667,80.1,73.67,12,0,6.89,IN,2021-04-11 22:33:21,clear sky
375,Luxor,25.6989,32.6421,62.6,34,0,4.61,EG,2021-04-11 22:33:21,clear sky
376,Cajabamba,-7.6167,-78.05,59.92,75,86,2.64,PE,2021-04-11 22:33:22,light rain
377,Ostrovnoy,68.0531,39.5131,31.41,79,66,27.38,RU,2021-04-11 22:33:22,broken clouds
378,Dudinka,69.4058,86.1778,27.57,91,100,23.35,RU,2021-04-11 22:33:22,overcast clouds
379,Castro,-24.7911,-50.0119,63.9,74,9,4.92,BR,2021-04-11 22:33:23,clear sky
380,Rehoboth,-23.3167,17.0833,66.4,39,0,6.6,NA,2021-04-11 22:33:23,clear sky
381,Nhulunbuy,-12.2333,136.7667,78.8,89,65,4.21,AU,2021-04-11 22:33:23,broken clouds
382,Asau,46.4333,26.4,42.01,46,1,3.42,RO,2021-04-11 22:33:24,light rain
383,Chake Chake,-5.2459,39.7666,77.36,88,90,6.17,TZ,2021-04-11 22:33:13,light rain
384,Rocha,-34.4833,-54.3333,62.96,73,99,17.05,UY,2021-04-11 22:33:24,overcast clouds
385,Siocon,7.7061,122.1353,80.19,82,42,6.08,PH,2021-04-11 22:33:25,scattered clouds
386,Manuk Mangkaw,4.8,119.85,82.96,75,83,8.05,PH,2021-04-11 22:33:25,broken clouds
387,Shumikha,55.2261,63.2961,35.33,90,41,8.81,RU,2021-04-11 22:33:12,scattered clouds
388,Myski,53.709,87.8014,30.38,95,74,1.07,RU,2021-04-11 22:33:26,broken clouds
389,Laguna,38.421,-121.4238,82.99,14,1,4.61,US,2021-04-11 22:33:26,clear sky
390,Mailsi,29.8003,72.1758,79.03,14,45,5.99,PK,2021-04-11 22:33:26,scattered clouds
391,Barcelos,41.5388,-8.6151,57.99,71,0,6.91,PT,2021-04-11 22:31:48,clear sky
392,Vao,-22.6667,167.4833,76.08,77,57,5.5,NC,2021-04-11 22:33:27,broken clouds
393,Monrovia,6.3005,-10.7969,77.0,94,36,6.53,LR,2021-04-11 22:33:27,light rain
394,Upington,-28.4478,21.2561,69.8,40,0,2.3,ZA,2021-04-11 22:30:27,clear sky
395,Sabha,27.0377,14.4283,73.96,15,69,24.58,LY,2021-04-11 22:33:28,broken clouds
396,Petropavlivka,48.4564,36.4367,49.42,60,100,13.44,UA,2021-04-11 22:33:28,overcast clouds
397,Baruun-Urt,46.6806,113.2792,21.24,52,57,16.44,MN,2021-04-11 22:32:15,broken clouds
398,Gorontalo,0.5412,123.0595,77.76,87,86,2.13,ID,2021-04-11 22:33:28,overcast clouds
399,Sioux City,42.5,-96.4003,66.2,30,1,14.97,US,2021-04-11 22:33:24,clear sky
400,Soyaux,45.65,0.2,41.0,93,75,5.75,FR,2021-04-11 22:33:29,broken clouds
401,Creston,41.0586,-94.3614,66.2,32,1,16.11,US,2021-04-11 22:33:29,clear sky
402,Verkhnyaya Inta,65.9811,60.3094,34.03,80,69,23.78,RU,2021-04-11 22:33:29,light snow
403,Ardrishaig,56.0157,-5.4481,30.0,80,3,3.44,GB,2021-04-11 22:33:30,clear sky
