City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
543,Los Llanos De Aridane,ES,68.0,clear sky,28.6585,-17.9182,Valle Aridane
546,Wanaka,NZ,58.06,broken clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
548,San Cristobal,VE,87.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
549,Jacareacanga,BR,75.56,light rain,-6.2222,-57.7528,Casa do Ian😎
550,Soyo,AO,79.02,broken clouds,-6.1349,12.3689,Hotel Mpampa
551,Tingo Maria,PE,71.98,broken clouds,-9.2895,-76.0088,Hospedaje Paraíso
552,Wilmington,US,73.4,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
553,Laurel,US,77.0,scattered clouds,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
554,Puerto Morazan,NI,89.6,few clouds,12.8504,-87.1717,Iglesia de Dios de la profecia
556,Keffi,NG,77.0,scattered clouds,8.8486,7.8736,Imam Family
557,Moindou,NC,77.0,broken clouds,-21.6924,165.67700000000002,Gite de la RYAWA
558,Nouadhibou,MR,68.0,clear sky,20.930999999999997,-17.0347,El Medina
559,Mumford,GH,81.23,overcast clouds,5.2618,-0.759,Spanish Villa
561,Harrison,US,75.0,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
562,Tabou,CI,80.37,broken clouds,4.423,-7.3528,hotêl doufoulougou
563,Pilar,BR,71.6,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
565,Bobon,PH,79.47,overcast clouds,12.5246,124.5636,Binang and Cadio Resort
